Id,Имя,Выжил,Класс,Пол,Возраст,БратьяИСупруги,РодителиИДети,ЦенаБилета,ПортПосадки
756,Viljo Hamalainen,1,2,муж,0.67,1,1,14.5,Саутгемптон
757,August Sigfrid Carlsson,0,3,муж,28,0,0,7.7958,Саутгемптон
758,Percy Andrew Bailey,0,2,муж,18,0,0,11.5,Саутгемптон
759,Thomas Leonard Theobald,0,3,муж,34,0,0,8.05,Саутгемптон
760,of Lucy Rothes,1,1,жен,33,0,0,86.5,Саутгемптон
761,John Garfirth,0,3,муж,,0,0,14.5,Саутгемптон
762,Iisakki Antino Nirva,0,3,муж,41,0,0,7.125,Саутгемптон
763,Hanna Assi Barah,1,3,муж,20,0,0,7.2292,Шербур
764,William Ernest Carter,1,1,жен,36,1,2,120,Саутгемптон
765,Hans Linus Eklund,0,3,муж,16,0,0,7.775,Саутгемптон
766,John C Hogeboom,1,1,жен,51,1,0,77.9583,Саутгемптон
767,Arthur Jackson Brewe,0,1,муж,,0,0,39.6,Шербур
768,Mary Mangan,0,3,жен,30.5,0,0,7.75,Квинстаун
769,Daniel J Moran,0,3,муж,,1,0,24.15,Квинстаун
770,Daniel Gronnestad,0,3,муж,32,0,0,8.3625,Саутгемптон
771,Rene Aime Lievens,0,3,муж,24,0,0,9.5,Саутгемптон
772,Niels Peder Jensen,0,3,муж,48,0,0,7.8542,Саутгемптон
773,Mary Mack,0,2,жен,57,0,0,10.5,Саутгемптон
774,Dibo Elias,0,3,муж,,0,0,7.225,Шербур
775,Elizabeth Eliza Hocking,1,2,жен,54,1,3,23,Саутгемптон
776,Pehr Fabian Myhrman,0,3,муж,18,0,0,7.75,Саутгемптон
777,Roger Tobin,0,3,муж,,0,0,7.75,Квинстаун
778,Virginia Ethel Emanuel,1,3,жен,5,0,0,12.475,Саутгемптон
779,Thomas J Kilgannon,0,3,муж,,0,0,7.7375,Квинстаун
780,Edward Scott Robert,1,1,жен,43,0,1,211.3375,Саутгемптон
781,Banoura Ayoub,1,3,жен,13,0,0,7.2292,Шербур
782,Albert Adrian Dick,1,1,жен,17,1,0,57,Саутгемптон
783,Milton Clyde Long,0,1,муж,29,0,0,30,Саутгемптон
784,Andrew G Johnston,0,3,муж,,1,2,23.45,Саутгемптон
785,William Ali,0,3,муж,25,0,0,7.05,Саутгемптон
786,Abraham David Harmer,0,3,муж,25,0,0,7.25,Саутгемптон
787,Anna Sofia Sjoblom,1,3,жен,18,0,0,7.4958,Саутгемптон
788,George Hugh Rice,0,3,муж,8,4,1,29.125,Квинстаун
789,Bertram Vere Dean,1,3,муж,1,1,2,20.575,Саутгемптон
790,Benjamin Guggenheim,0,1,муж,46,0,0,79.2,Шербур
791,Andrew Andy Keane,0,3,муж,,0,0,7.75,Квинстаун
792,Alfred Gaskell,0,2,муж,16,0,0,26,Саутгемптон
793,Stella Anna Sage,0,3,жен,,8,2,69.55,Саутгемптон
794,William Fisher Hoyt,0,1,муж,,0,0,30.6958,Шербур
795,Ristiu Dantcheff,0,3,муж,25,0,0,7.8958,Саутгемптон
796,Richard Otter,0,2,муж,39,0,0,13,Саутгемптон
797,Alice Farnham Leader,1,1,жен,49,0,0,25.9292,Саутгемптон
798,Mara Osman,1,3,жен,31,0,0,8.6833,Саутгемптон
799,Yousseff Ibrahim Shawah,0,3,муж,30,0,0,7.2292,Шербур
800,Jean Baptiste Van Impe,0,3,жен,30,1,1,24.15,Саутгемптон
801,Martin Ponesell,0,2,муж,34,0,0,13,Саутгемптон
802,Harvey Charlotte Collyer,1,2,жен,31,1,1,26.25,Саутгемптон
803,William Thornton Carter,1,1,муж,11,1,2,120,Саутгемптон
804,Assad Alexander Thomas,1,3,муж,0.42,0,1,8.5167,Шербур
805,Oskar Arvid Hedman,1,3,муж,27,0,0,6.975,Саутгемптон
806,Karl Johan Johansson,0,3,муж,31,0,0,7.775,Саутгемптон
807,Thomas Jr Andrews,0,1,муж,39,0,0,0,Саутгемптон
808,Ellen Natalia Pettersson,0,3,жен,18,0,0,7.775,Саутгемптон
809,August Meyer,0,2,муж,39,0,0,13,Саутгемптон
810,Norman Campbell Chambers,1,1,жен,33,1,0,53.1,Саутгемптон
811,William Alexander,0,3,муж,26,0,0,7.8875,Саутгемптон
812,James Lester,0,3,муж,39,0,0,24.15,Саутгемптон
813,Richard James Slemen,0,2,муж,35,0,0,10.5,Саутгемптон
814,Ebba Iris Andersson,0,3,жен,6,4,2,31.275,Саутгемптон
815,Ernest Portage Tomlin,0,3,муж,30.5,0,0,8.05,Саутгемптон
816,Richard Fry,0,1,муж,,0,0,0,Саутгемптон
817,Wendla Maria Heininen,0,3,жен,23,0,0,7.925,Саутгемптон
818,Albert Mallet,0,2,муж,31,1,1,37.0042,Шербур
819,John Fredrik Holm,0,3,муж,43,0,0,6.45,Саутгемптон
820,Karl Thorsten Skoog,0,3,муж,10,3,2,27.9,Саутгемптон
821,Charles Melville Hays,1,1,жен,52,1,1,93.5,Саутгемптон
822,Nikola Lulic,1,3,муж,27,0,0,8.6625,Саутгемптон
823,John George Reuchlin,0,1,муж,38,0,0,0,Саутгемптон
824,Beila Moor,1,3,жен,27,0,1,12.475,Саутгемптон
825,Urho Abraham Panula,0,3,муж,2,4,1,39.6875,Саутгемптон
826,John Flynn,0,3,муж,,0,0,6.95,Квинстаун
827,Len Lam,0,3,муж,,0,0,56.4958,Саутгемптон
828,Andre Mallet,1,2,муж,1,0,2,37.0042,Шербур
829,Thomas Joseph McCormack,1,3,муж,,0,0,7.75,Квинстаун
830,George Nelson Stone,1,1,жен,62,0,0,80,
831,Antoni Selini Yasbeck,1,3,жен,15,1,0,14.4542,Шербур
832,George Sibley Richards,1,2,муж,0.83,1,1,18.75,Саутгемптон
833,Amin Saad,0,3,муж,,0,0,7.2292,Шербур
834,Albert Augustsson,0,3,муж,23,0,0,7.8542,Саутгемптон
835,Owen George Allum,0,3,муж,18,0,0,8.3,Саутгемптон
836,Sara Rebecca Compton,1,1,жен,39,1,1,83.1583,Шербур
837,Jakob Pasic,0,3,муж,21,0,0,8.6625,Саутгемптон
838,Maurice Sirota,0,3,муж,,0,0,8.05,Саутгемптон
839,Chang Chip,1,3,муж,32,0,0,56.4958,Саутгемптон
840,Pierre Marechal,1,1,муж,,0,0,29.7,Шербур
841,Ilmari Rudolf Alhomaki,0,3,муж,20,0,0,7.925,Саутгемптон
842,Thomas Charles Mudd,0,2,муж,16,0,0,10.5,Саутгемптон
843,Augusta Serepeca,1,1,жен,30,0,0,31,Шербур
844,Peter L Lemberopolous,0,3,муж,34.5,0,0,6.4375,Шербур
845,Jeso Culumovic,0,3,муж,17,0,0,8.6625,Саутгемптон
846,Anthony Abbing,0,3,муж,42,0,0,7.55,Саутгемптон
847,Douglas Bullen Sage,0,3,муж,,8,2,69.55,Саутгемптон
848,Marin Markoff,0,3,муж,35,0,0,7.8958,Шербур
849,John Harper,0,2,муж,28,0,1,33,Саутгемптон
850,Samuel L Goldenberg,1,1,жен,,1,0,89.1042,Шербур
851,Sigvard Harald Andersson,0,3,муж,4,4,2,31.275,Саутгемптон
852,Johan Svensson,0,3,муж,74,0,0,7.775,Саутгемптон
853,Nourelain Boulos,0,3,жен,9,1,1,15.2458,Шербур
854,Mary Conover Lines,1,1,жен,16,0,1,39.4,Саутгемптон
855,Ernest Courtenay Carter,0,2,жен,44,1,0,26,Саутгемптон
856,Sam Leah Aks,1,3,жен,18,0,1,9.35,Саутгемптон
857,George Dennick Wick,1,1,жен,45,1,1,164.8667,Саутгемптон
858,Peter Denis Daly,1,1,муж,51,0,0,26.55,Саутгемптон
859,Solomon Latifa Baclini,1,3,жен,24,0,3,19.2583,Шербур
860,Raihed Razi,0,3,муж,,0,0,7.2292,Шербур
861,Claus Peter Hansen,0,3,муж,41,2,0,14.1083,Саутгемптон
862,Frederick Edward Giles,0,2,муж,21,1,0,11.5,Саутгемптон
863,Frederick Joel Swift,1,1,жен,48,0,0,25.9292,Саутгемптон
864,Dorothy Edith Sage,0,3,жен,,8,2,69.55,Саутгемптон
865,John William Gill,0,2,муж,24,0,0,13,Саутгемптон
866,Karolina Bystrom,1,2,жен,42,0,0,13,Саутгемптон
867,Asuncion Duran y More,1,2,жен,27,1,0,13.8583,Шербур
868,Washington Roebling,0,1,муж,31,0,0,50.4958,Саутгемптон
869,Philemon van Melkebeke,0,3,муж,,0,0,9.5,Саутгемптон
870,Harold Theodor Johnson,1,3,муж,4,1,1,11.1333,Саутгемптон
871,Cerin Balkic,0,3,муж,26,0,0,7.8958,Саутгемптон
872,Richard Leonard Beckwith,1,1,жен,47,1,1,52.5542,Саутгемптон
873,Frans Olof Carlsson,0,1,муж,33,0,0,5,Саутгемптон
874,Victor Vander Cruyssen,0,3,муж,47,0,0,9,Саутгемптон
875,Samuel Hannah Abelson,1,2,жен,28,1,0,24,Шербур
876,Adele Kiamie Najib,1,3,жен,15,0,0,7.225,Шербур
877,Alfred Ossian Gustafsson,0,3,муж,20,0,0,9.8458,Саутгемптон
878,Nedelio Petroff,0,3,муж,19,0,0,7.8958,Саутгемптон
879,Kristo Laleff,0,3,муж,,0,0,7.8958,Саутгемптон
880,Thomas Jr Potter,1,1,жен,56,0,1,83.1583,Шербур
881,William Imanita Shelley,1,2,жен,25,0,1,26,Саутгемптон
882,Johann Markun,0,3,муж,33,0,0,7.8958,Саутгемптон
883,Gerda Ulrika Dahlberg,0,3,жен,22,0,0,10.5167,Саутгемптон
884,Frederick James Banfield,0,2,муж,28,0,0,10.5,Саутгемптон
885,Henry Jr Sutehall,0,3,муж,25,0,0,7.05,Саутгемптон
886,William Margaret Rice,0,3,жен,39,0,5,29.125,Квинстаун
887,Juozas Montvila,0,2,муж,27,0,0,13,Саутгемптон
888,Margaret Edith Graham,1,1,жен,19,0,0,30,Саутгемптон
889,Catherine Helen Johnston,0,3,жен,,1,2,23.45,Саутгемптон
890,Karl Howell Behr,1,1,муж,26,0,0,30,Шербур
891,Patrick Dooley,0,3,муж,32,0,0,7.75,Квинстаун
